player,display_name,slug,team,position,contract_type,actual_cap_hit,predicted_log_cap_hit,predicted_market_value,contract_surplus,log_contract_surplus,agent,signing_gm,age,games_played,goals,assists,points,plus_minus,pim,points_per_60,icf_per_60,iscf_per_60,ihdcf_per_60,giveaways_per_60,takeaways_per_60,hits_per_60,shots_blocked_per_60,r2
Zach Metsa,Zach Metsa,zach-metsa-buf-d-std,BUF,D,STD,775000,14.316303136108738,1650028.5291293953,875028.5291293953,0.7556848277732549,Allain Roy,Kevyn Adams,27,43,2,4,6,16,8,0.76,7.12,1.53,0.38,3.56,0.64,0.64,3.94,0.4695442670482678
Joshua Norris,Joshua Norris,joshua-norris-buf-c-std,BUF,C,STD,7950000,14.830262633948488,2758679.3697187356,-5191320.630281264,-1.058419852682027,Craig Oster,Pierre Dorion,27,44,13,21,34,11,28,2.93,11.53,7.75,3.61,1.72,0.77,2.07,2.32,0.4695442670482678
Sam Carrick,Sam Carrick,sam-carrick-buf-c-std,BUF,C,STD,1000000,15.000110474245277,3269378.5346483244,2269378.5346483244,1.1845999162810035,Todd Reynolds,Chris Drury,34,73,9,7,16,2,65,1.26,11.3,5.73,3.53,2.28,1.02,8.32,2.75,0.4695442670482678
Luke Schenn,Luke Schenn,luke-schenn-buf-d-std,BUF,D,STD,2750000,14.71331441405898,2454207.395827256,-295792.60417274386,-0.11379705558377395,Ben Hankinson,Barry Trotz,36,50,1,6,7,-12,43,0.62,8.43,1.41,0.09,3.86,0.61,13.08,5.01,0.4695442670482678
Logan Stanley,Logan Stanley,logan-stanley-buf-d-std,BUF,D,STD,1250000,14.92212920048719,3024115.471242396,1774115.4712423962,0.8834750912087053,Patrick Morris,Kevin Cheveldayoff,28,76,9,17,26,3,128,1.23,12.29,3.12,0.38,3.12,0.8,5.2,3.97,0.4695442670482678
Tanner Pearson,Tanner Pearson,tanner-pearson-buf-l-std,BUF,L,STD,1000000,14.870538444527842,2872055.244535762,1872055.244535762,1.0550278865635683,Joseph Resnick,Kevin Cheveldayoff,33,56,7,8,15,9,27,1.48,10.09,4.65,1.88,2.77,0.59,7.32,2.67,0.4695442670482678
Isak Rosén,Isak Rosén,isak-ros-n-buf-r-elc,BUF,R,ELC,894167,14.22257345833441,1502398.604118215,608231.6041182149,0.5189256207290178,J.P. Barry,Kevyn Adams,23,37,6,4,10,-5,0,1.4100000000000001,13.39,6.77,2.11,2.54,0.7,2.4,2.82,0.4695442670482678
Jacob Bryson,Jacob Bryson,jacob-bryson-buf-d-std,BUF,D,STD,900000,14.446164091247333,1878838.0613270178,978838.0613270178,0.7360140489408842,Jeff Boston,Kevyn Adams,28,50,2,6,8,-9,10,0.88,6.63,1.44,0.44,1.88,0.55,1.55,3.2,0.4695442670482678
Mark Jankowski,Mark Jankowski,mark-jankowski-car-l-std,CAR,L,STD,800000,14.959442223252625,3139085.9703154154,2339085.9703154154,1.3670752166025597,Wade Arnott,Barry Trotz,31,68,11,10,21,7,16,1.6600000000000001,10.68,8.55,4.67,2.77,0.87,3.56,3.56,0.4695442670482678
K'Andre Miller,K'Andre Miller,k-andre-miller-car-d-std,CAR,D,STD,7500000,14.761208193575335,2574608.89105574,-4925391.10894426,-1.0692053849312035,Ian Pulver,Chris Drury,26,72,8,29,37,7,56,1.3800000000000001,11.5,3.16,0.56,2.98,1.64,3.76,2.94,0.4695442670482678
Andrei Svechnikov,Andrei Svechnikov,andrei-svechnikov-car-r-std,CAR,R,STD,7750000,15.187788271888532,3944324.5145630697,-3805675.4854369303,-0.6754151294409976,Mark Gandler & Todd Diamond,Don Waddell,26,79,31,39,70,1,66,3.13,19.05,10.64,3.98,4.11,1.03,6.62,0.72,0.4695442670482678
Jackson Blake,Jackson Blake,jackson-blake-car-r-elc,CAR,R,ELC,905833,14.757671484426538,2565519.3312753714,1659686.3312753714,1.0410612431024955,Neil Sheehy,Don Waddell,22,81,22,31,53,4,40,2.38,15.58,11.31,5.52,4.13,1.35,0.58,1.53,0.4695442670482678
