 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Auston Matthews,TOR,C,STD,13250000,16.399508110396507,15.267353741801449,-1.1321543685950584,Judd Moldaver,Brad Treliving,28,60,2.55,19.32,13.51,5.67,2.45,1.44,2.02,3.89
Bo Groulx,TOR,C,STD,812500,13.60787119318603,13.725720609315486,0.11784941612945588,Allain Roy,Brad Treliving,26,13,1.47,9.41,4.41,1.76,3.24,0,10,1.76
Christopher Tanev,TOR,D,STD,4500000,15.319587954740548,14.633352800340978,-0.6862351543995704,Wade Arnott,Brad Treliving,36,11,0.61,5.46,0.61,0,2.43,1.52,0.61,4.55
Easton Cowan,TOR,R,ELC,873500,13.680263408556248,14.227336481477437,0.5470730729211883,Andrew & Dave Maloney,Brad Treliving,21,66,1.79,11.43,6.18,2.47,4.88,0.8,4.39,1.98
Jacob Quillan,TOR,C,ELC,875000,13.681979165339751,13.494452170080107,-0.18752699525964367,Jerry Buckley,Brad Treliving,24,23,0.76,8.13,2.29,1.52,3.05,1.52,11.69,3.3
Jake McCabe,TOR,D,STD,4513102,15.32249527992754,15.100145645281753,-0.22234963464578783,Brian & Scott Bartlett,Brad Treliving,32,80,0.8400000000000001,5.96,1.67,0.37,2.88,0.9,3.48,6.36
John Tavares,TOR,C,STD,4389280,15.294675762488772,15.707272019902035,0.4125962574132629,Pat Brisson,Brad Treliving,35,82,2.8600000000000003,15.42,11.79,6.28,3.02,1.05,2.98,0.97
Matthew Knies,TOR,L,STD,7750000,15.86320340132953,14.515259155069508,-1.3479442462600222,Matt Federico,Brad Treliving,23,79,2.67,9.74,7.64,4.65,2.75,1.05,6.14,1.29
Max Domi,TOR,C,STD,3750000,15.137266397946593,15.228937672847723,0.09167127490112925,Judd Moldaver,Brad Treliving,31,80,1.81,11.84,5.54,2.22,4.49,1.31,1.86,1.76
Michael Pezzetta,TOR,L,STD,812500,13.60787119318603,12.606952310519128,-1.0009188826669018,Paul Capizzano,Brad Treliving,28,9,0,4.12,2.06,2.06,3.09,0,30.9,3.09
Nicholas Robertson,TOR,L,STD,1825000,14.417090544998729,14.672751804949309,0.2556612599505801,Pat Brisson,Brad Treliving,24,78,1.94,13.85,8.57,3.89,4.07,1.4,4.56,2.19
Oliver Ekman-Larsson,TOR,D,STD,3500000,15.068273526459642,15.343516410573239,0.275242884113597,Kevin Epp,Brad Treliving,34,78,1.46,10.05,3.03,0.52,4.07,0.6,3.21,2.69
Philippe Myers,TOR,D,STD,850000,13.652991628466498,14.296378227063423,0.6433865985969245,Allain Roy,Brad Treliving,29,39,0.21,10.37,2.12,0.21,3.7,0.42,5.82,5.4
Simon Benoit,TOR,D,STD,1350000,14.115615150414612,14.31675738389837,0.2011422334837576,Philippe Lecavalier,Brad Treliving,27,73,0.29,6.94,1.62,0.24,3.23,0.57,9.22,5.42
Steven Lorentz,TOR,C,STD,1350000,14.115615150414612,14.612650864936084,0.49703571452147166,Robert Hooper,Brad Treliving,30,71,1.28,8.76,5.06,2.56,2.42,1.21,11.04,3.42
William Nylander,TOR,R,STD,11500000,16.25785759333348,15.561714838798073,-0.6961427545354066,Lewis Gross,Brad Treliving,30,65,3.76,14.64,6.94,3.38,3.23,1.47,0.62,1.24
Brandon Carlo,TOR,D,STD,4100000,15.226497531674536,14.522216771967873,-0.7042807597066627,Craig Oster,Don Sweeney,29,55,0.39,8,1.52,0.11,2.99,0.39,3.66,5.52
Calle Jarnkrok,TOR,C,STD,2100000,14.557447902693651,14.740918497332391,0.18347059463873983,Craig Oster,Kyle Dubas,34,56,0.72,7.15,3.44,1.63,1.72,0.36,2.99,1
Morgan Rielly,TOR,D,STD,7500000,15.830413578506539,15.391503226419438,-0.4389103520871007,J.P. Barry,Kyle Dubas,32,78,1.31,12.01,3.78,0.47,3.17,0.8,1.27,4.15
Dakota Joshua,TOR,C,STD,3250000,14.994165554305921,14.198130645479816,-0.7960349088261047,Richard Evans,Patrik Allvin,30,55,1.6,8.28,5.97,3.92,1.78,0.8,17.37,2.85
Alexander Kerfoot,UTA,C,STD,3000000,14.914122846632385,14.653425754644687,-0.26069709198769786,J.P. Barry,Bill Armstrong,31,34,1.7999999999999998,8.69,4.42,1.93,3.59,0.83,4.14,3.73
Barrett Hayton,UTA,C,STD,2650000,14.790070197962406,14.542941371270517,-0.2471288266918883,Patrick Morris,Bill Armstrong,26,67,1.48,12.26,8.35,4.86,2.37,0.77,2.01,1.72
Brandon Tanev,UTA,L,STD,2500000,14.73180128983843,14.267639388673418,-0.46416190116501177,Wade Arnott,Bill Armstrong,34,56,0.34,9.85,4.92,2.98,4.01,0.8,17.75,3.89
Daniil But,UTA,L,ELC,950000,13.764217263576723,13.713325524428777,-0.050891739147946424,Mark Gandler & Todd Diamond,Bill Armstrong,21,29,1.1600000000000001,15.6,9.46,6.47,2.99,0.66,2.65,2.99
Dmitri Simashev,UTA,D,ELC,950000,13.764217263576723,13.484471027302064,-0.27974623627465967,Daniel Milstein,Bill Armstrong,21,28,0.14,7.09,1.99,0.57,4.26,0.14,1.99,3.97
Dylan Guenther,UTA,R,STD,7142875,15.781625914333981,15.286163110818475,-0.4954628035155064,Kevin Epp,Bill Armstrong,23,79,3.19,23.14,10.3,3.62,2.97,0.7,2.88,1.22
Ian Cole,UTA,D,STD,2800000,14.845129975145433,15.538519467162828,0.6933894920173955,Kevin Magnuson,Bill Armstrong,37,82,0.92,7.01,2,0.2,3.8,0.6,2.92,6.05
Jack McBain,UTA,C,STD,4250000,15.2624295409006,14.14668441749852,-1.11574512340208,Patrick Morris,Bill Armstrong,26,75,1.44,12.36,7.92,5.32,2.95,0.52,15.66,2.48
John-Jason Peterka,UTA,R,STD,7700000,15.856730886823913,14.91927851766256,-0.9374523691613526,Allan Walsh,Bill Armstrong,24,82,2.15,15.47,7.14,2.84,3.98,0.87,0.73,0.87
Kailer Yamamoto,UTA,R,STD,775000,13.560618308335483,14.54162578826813,0.9810074799326465,J.P. Barry,Bill Armstrong,27,59,1.98,7.93,6.12,3.36,2.07,1.47,4.05,1.64
