 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Adrian Kempe,L.A,R,STD,5500000,15.520258650202699,15.525835497855372,0.005576847652672967,J.P. Barry,Rob Blake,29,81,2.8,19.49,8.9,2.88,2.57,0.92,4.87,1.5
Alex Turcotte,L.A,C,STD,775000,13.560618308335483,14.314287559396664,0.7536692510611811,Pat Brisson,Rob Blake,25,62,1.25,12.34,9.74,5.72,2.41,1.25,4.56,3.04
Anze Kopitar,L.A,C,STD,7000000,15.761420707019587,15.524729678557879,-0.2366910284617081,Pat Brisson,Rob Blake,38,67,1.78,9.93,6.65,3.93,2.72,1.08,1.55,2.86
Brandt Clarke,L.A,D,ELC,863334,13.668556917208084,14.90741999674622,1.2388630795381363,Randy Robitaille,Rob Blake,23,82,1.48,12.16,3.92,0.89,3.44,0.96,1.15,6.84
Drew Doughty,L.A,D,STD,11000000,16.213405830762646,15.31054789159757,-0.9028579391650755,Drew Doughty,Rob Blake,36,72,0.8300000000000001,9.35,1.99,0.32,2.96,0.65,1.88,2.74
Jacob Moverare,L.A,D,STD,775000,13.560618308335483,14.032899929924485,0.47228162158900133,Kevin Epp,Rob Blake,27,15,0,10.48,3.19,0.46,2.73,0.91,1.37,5.47
Jared Wright,L.A,R,ELC,867500,13.673370790803151,13.660492960925492,-0.012877829877659508,Dean Grillo,Rob Blake,23,23,0.91,12.32,7.07,5.02,1.6,0.91,6.16,4.11
Jeff Malott,L.A,L,STD,775000,13.560618308335483,14.08663261833985,0.526014310004367,Richard Evans,Rob Blake,29,58,1.0499999999999998,14.78,9.5,5.98,2.11,0.94,19.47,3.17
Joel Edmundson,L.A,D,STD,3850000,15.163583706263967,15.154080696604774,-0.00950300965919304,Darren Ferris,Rob Blake,32,82,0.9099999999999999,10.06,2.22,0.44,3.29,0.4,3.84,4.4
Kevin Fiala,L.A,L,STD,7875000,15.879203742675971,15.095141924697842,-0.7840618179781291,Craig Oster,Rob Blake,29,56,2.24,17.93,9.41,3.36,4.2,1.06,2.19,1.34
Mikey Anderson,L.A,D,STD,4125000,15.232576577750919,14.642005773489043,-0.5905708042618762,John Kofi Osei-Tutu & Bobby Gauthier,Rob Blake,27,80,0.73,6.31,1.86,0.44,1.93,0.51,4.05,4.85
Quinton Byfield,L.A,R,STD,6250000,15.648092021712584,14.65063933949998,-0.9974526822126037,David Gagner,Rob Blake,23,79,1.8599999999999999,13.65,7.78,3.72,2.81,1.4,2.5,1.67
Samuel Helenius,L.A,C,ELC,805833,13.599631803990926,13.612143995129117,0.012512191138190687,Daniel Milstein,Rob Blake,23,53,1.2799999999999998,11.92,5.82,3.26,1.99,0.57,20.43,2.41
Trevor Moore,L.A,L,STD,4200000,15.250595083253597,15.130685279974882,-0.11990980327871448,Murray Koontz,Rob Blake,31,69,1.67,15.33,6.91,3.48,2.7,1.3,2.96,1.92
Phillip Danault,L.A,C,STD,5500000,15.520258650202699,14.955073902910291,-0.5651847472924079,Donald Meehan,Rob Blake,33,75,0.8799999999999999,9.15,5.5,2.83,2.47,0.62,3.24,2.06
Artemi Panarin,L.A,L,STD,11642857,16.27020341688584,16.08062341147041,-0.1895800054154293,Paul Theofanous,Jeff Gorton,34,78,3.0999999999999996,18.93,8.67,1.7,3.88,0.92,0.41,0.59
Warren Foegele,L.A,L,STD,3500000,15.068273526459642,14.724036189291306,-0.3442373371683356,Joseph Resnick,Rob Blake,30,68,1.0899999999999999,14.6,8.01,4.1,4.29,0.9,4.74,1.22
Mathieu Joseph,L.A,R,STD,900000,13.710150042306449,14.197789184271176,0.4876391419647277,Olivier Fortier,Ken Holland,29,51,1.08,8.44,5.3,3.43,2.45,1.37,11.29,3.34
Corey Perry,L.A,R,STD,2000000,14.508657738524219,15.8585292570777,1.3498715185534813,Patrick Morris,Ken Holland,41,72,2.26,13.29,8.05,5.12,2.99,0.37,1.83,1.22
Scott Laughton,L.A,C,STD,3000000,14.914122846632385,14.792118008844607,-0.12200483778777738,Patrick Morris,Chuck Fletcher,32,64,1.31,11.76,5.75,3.13,3.85,0.91,7.84,2.74
Brock Faber,MIN,D,STD,8500000,15.955576721460545,14.789978526009563,-1.1655981954509826,Brian & Scott Bartlett,Bill Guerin,23,80,1.55,10.97,3.13,0.64,2.8,1.09,1,4.5
Danila Yurov,MIN,R,ELC,950000,13.764217263576723,14.329843749354332,0.5656264857776083,Rick Komarow,Bill Guerin,22,73,1.67,10.57,7.05,3.89,2.78,0.99,3.83,2.66
Hunter Haight,MIN,C,ELC,865833,13.671447328301772,13.47433580547182,-0.19711152282995137,Patrick Morris,Bill Guerin,22,9,1.24,11.69,8,3.69,2.46,0.62,6.15,1.23
Jacob Middleton,MIN,D,STD,4350000,15.285686403064867,14.846501363523846,-0.4391850395410213,Joseph Resnick,Bill Guerin,30,75,0.73,6.72,2.01,0.41,2.1,0.46,3.98,5.35
Jared Spurgeon,MIN,D,STD,7575000,15.840363909359708,15.40775713065148,-0.4326067787082284,Eustace King,Bill Guerin,36,79,0.85,7.91,2.44,0.74,2.17,0.58,3.18,5.31
Joel Eriksson Ek,MIN,C,STD,5250000,15.473738634567807,14.99073102208344,-0.48300761248436785,Claude Lemieux,Bill Guerin,29,70,2.29,15.36,8.99,5.3,1.84,0.85,4.76,1.53
Jonas Brodin,MIN,D,STD,6000000,15.60727002719233,15.078904518300725,-0.5283655088916053,Peter Wallen,Bill Guerin,32,62,0.8600000000000001,7.92,1.81,0.24,2.1,0.62,0.48,6.01
Kirill Kaprizov,MIN,L,STD,9000000,16.012735135300492,15.498961533020495,-0.513773602279997,Paul Theofanous,Bill Guerin,29,78,3.09,18.55,10.04,4.27,3.89,0.76,1.81,0.94
Marcus Foligno,MIN,L,STD,4000000,15.201804919084164,14.53587223809534,-0.6659326809888242,Patrick Morris,Bill Guerin,34,56,1.09,8.84,5.67,3.42,2.42,0.92,15.01,3.92
Marcus Johansson,MIN,L,STD,800000,13.592367006650065,15.597881680882717,2.0055146742326517,J.P. Barry,Bill Guerin,35,75,2.54,10.58,5.5,2.49,2.75,1.14,1.76,1.04
Mats Zuccarello,MIN,R,STD,4125000,15.232576577750919,15.892521717188414,0.6599451394374949,Craig Oster,Bill Guerin,38,59,2.9499999999999997,13.69,7.96,2.89,3.38,0.71,0.87,1.42
Matt Boldy,MIN,L,STD,7000000,15.761420707019587,15.312069657252472,-0.44935104976711493,Brian & Scott Bartlett,Bill Guerin,25,76,3.26,19.23,9.67,4.18,3.3,1.3,2.3,2.23
Matt Kiersted,MIN,D,STD,775000,13.560618308335483,13.8980512220832,0.3374329137477172,Neil Sheehy,Bill Guerin,28,6,0.64,3.18,0.64,0,6.36,0,0,6.36
Nico Sturm,MIN,C,STD,2000000,14.508657738524219,14.527501777633791,0.018844039109572108,Matt & Ryan Keator,Bill Guerin,31,49,1.23,8.17,5.15,2.57,2.24,1.12,6.15,2.13
Ryan Hartman,MIN,R,STD,4000000,15.201804919084164,15.40132058684345,0.19951566775928598,Matthew Oates,Bill Guerin,31,76,2.02,16.69,9.71,4.67,3.11,1.08,3.02,4.48
Tyler Pitlick,MIN,C,STD,775000,13.560618308335483,14.13602247703242,0.5754041686969362,Ben Hankinson,Bill Guerin,34,32,0.48,12.06,7.24,4.1,1.93,1.21,18.82,4.58
Yakov Trenin,MIN,C,STD,3500000,15.068273526459642,14.178165607818638,-0.8901079186410037,Renat Mamashev,Bill Guerin,29,82,1.27,10.52,6.89,4.13,3.47,1.32,22.7,2.15
Zach Bogosian,MIN,D,STD,1250000,14.038654109278484,14.753282033207716,0.7146279239292319,Darren Ferris,Bill Guerin,35,41,0.6000000000000001,7.65,2.01,0.3,3.22,1.01,4.73,3.72
Daemon Hunt,MIN,D,STD,775000,13.560618308335483,14.077913155879353,0.5172948475438695,Joe Caligiuri,Don Waddell,24,32,0.91,6.49,2.11,0.15,2.11,0.3,3.17,6.49
Vladimir Tarasenko,MIN,R,STD,4750000,15.373655176010823,15.599910597965247,0.2262554219544235,Pat Brisson,Steve Yzerman,34,75,2.52,14.89,8.46,3.48,3.48,0.64,3.21,1.77
Michael McCarron,MIN,C,STD,900000,13.710150042306449,14.701676981839283,0.9915269395328341,Wade Arnott,Barry Trotz,31,79,0.9199999999999999,10.99,5.63,3.9,2.06,1.3,11.1,4.17
Bobby Brink,MIN,R,STD,1500000,14.22097566607244,14.488264215430181,0.26728854935774216,Ben Hankinson,Daniel Briere,24,68,1.74,11.99,7.68,3.43,2.56,0.7,4.66,2.27
Robby Fabbri,MIN,C,STD,775000,13.560618308335483,14.015191043143428,0.4545727348079449,Patrick Morris,Doug Armstrong,30,21,1.21,11.13,8.23,4.36,1.69,0,10.65,2.18
Liam Öhgren,MIN,L,ELC,886666,13.69522364020979,14.310251869094946,0.6150282288851567,Brian & Scott Bartlett,Bill Guerin,22,69,1.19,12.15,5.94,2.05,2.84,1.06,4.56,2.71
Marco Rossi,MIN,C,STD,5000000,15.424948470398375,14.381994265088236,-1.0429542053101386,Ian Pulver,Bill Guerin,24,50,2.4,8.86,5.97,3.16,2.95,1.1,3.23,1.99
Zeev Buium,MIN,D,ELC,966667,13.781609351116119,14.206498965571068,0.42488961445494944,Kurt Overhardt,Bill Guerin,20,76,1.05,8.35,2.98,0.36,3.55,0.56,1.13,2.22
Quinn Hughes,MIN,D,STD,7850000,15.876024089758591,15.197146396722696,-0.6788776930358953,Pat Brisson,Jim Benning,26,74,2.22,13.94,5.29,0.44,3.39,0.99,0.2,2.54
Alexandre Carrier,MTL,D,STD,3750000,15.137266397946593,14.926495367808657,-0.21077103013793597,Philippe Lecavalier,Barry Trotz,29,73,0.95,6.07,1.25,0.39,2.15,1.21,1.51,6.68
Mike Matheson,MTL,D,STD,4875000,15.399630662414085,15.238439247758881,-0.16119141465520315,Philippe Lecavalier,Dale Tallon,32,78,1.18,8.5,2.51,0.38,2.99,0.76,1.88,4.78
Zack Bolduc,MTL,R,ELC,863334,13.668556917208084,14.39153955774904,0.7229826405409554,Pat Brisson,Doug Armstrong,23,78,1.7000000000000002,13.26,8.58,3.56,3.72,1.02,9.59,2.43
Patrik Laine,MTL,L,STD,8700000,15.978833583624812,14.218957701714036,-1.7598758819107765,Andy Scott,Jarmo Kekalainen,28,5,0.95,19.04,3.81,0.95,1.9,0,1.9,0
Alex Newhook,MTL,C,STD,2900000,14.880221294956703,14.452627214010716,-0.42759408094598683,Paul Capizzano,Kent Hughes,25,42,2.46,11.14,7.3,2.96,1.28,0.2,4.73,1.68
Arber Xhekaj,MTL,D,STD,1300000,14.077874822431765,13.924219720021743,-0.15365510241002234,Brian & Scott Bartlett,Kent Hughes,25,65,0.32,10.1,1.78,0.4,2.83,0.16,14.38,3.39
Cole Caufield,MTL,R,STD,7850000,15.876024089758591,15.415351929824663,-0.46067215993392807,Pat Brisson,Kent Hughes,25,81,3.59,18.82,11.2,4.4,2.28,0.9,2.04,0.86
Ivan Demidov,MTL,R,ELC,940833,13.754520932041945,14.804338136409696,1.0498172043677503,Daniel Milstein,Kent Hughes,20,82,2.9299999999999997,13.31,6.56,2.17,3.4,1.04,1.32,1.23
Jake Evans,MTL,C,STD,2850000,14.862829552244833,14.763858106325804,-0.09897144591902851,Brian MacDonald,Kent Hughes,30,68,1.38,9.02,5.11,2.59,2.76,0.86,5.11,2.87
Jayden Struble,MTL,D,STD,1412500,14.160871742002733,13.989355772288237,-0.17151596971449656,Philippe Lecavalier,Kent Hughes,24,59,0.88,6.46,2.25,0.22,3.77,0.94,8.34,2.32
Joseph Veleno,MTL,C,STD,900000,13.710150042306449,13.888324452156304,0.17817440984985566,Philippe Lecavalier,Kent Hughes,26,61,0.4,8.13,4.72,2.12,1.55,0.65,13.5,2.6
Juraj Slafkovský,MTL,L,STD,7600000,15.84365880525656,14.881439592080048,-0.9622192131765122,Gerry Johannson,Kent Hughes,22,82,2.88,15.63,9.51,4.5,3.24,0.63,4.14,3.08
Kaiden Guhle,MTL,D,STD,5550000,15.529308485722618,14.028978329555885,-1.5003301561667328,Allain Roy,Kent Hughes,24,39,0.87,8.46,2.13,0.32,2.85,1.66,6.8,4.98
Kirby Dach,MTL,C,STD,3362500,15.028195302892232,14.203222112195101,-0.8249731906971309,Gerry Johannson,Kent Hughes,25,37,1.7799999999999998,10.92,6.53,3.56,2.02,1.31,6.29,3.56
Lane Hutson,MTL,D,ELC,950000,13.764217263576723,14.89071308979266,1.1264958262159368,Sean Coffey,Kent Hughes,22,82,2.4,9.26,3.82,0.86,2.86,1.32,0.95,4.22
Oliver Kapanen,MTL,C,ELC,925000,13.737549016494562,14.663033494449541,0.9254844779549796,Simo Niiranen,Kent Hughes,22,82,1.87,11.68,8.14,3.74,1.92,0.71,1.62,3.44
Brendan Gallagher,MTL,R,STD,6500000,15.687312734865866,15.153463150209683,-0.533849584656183,Gerry Johannson,Marc Bergevin,34,77,1.45,14.76,7.82,4.67,2.33,0.69,6.18,1.26
Josh Anderson,MTL,R,STD,5500000,15.520258650202699,14.867589206482913,-0.6526694437197857,Darren Ferris,Marc Bergevin,32,72,1.3599999999999999,10.22,6.6,3.27,2.5,0.48,7.67,2.56
Nick Suzuki,MTL,C,STD,7875000,15.879203742675971,15.396975008759712,-0.48222873391625853,David Gagner,Marc Bergevin,26,82,3.55,13.53,7.56,3.02,2.53,1.02,2.18,2.18
Noah Dobson,MTL,D,STD,9500000,16.06680235657077,15.077474463325785,-0.9893278932449832,Olivier Fortier,Mathieu Darche,26,80,1.5699999999999998,11.91,2.77,0.57,3.17,1.2,2.07,6.27
Alexandre Texier,MTL,L,STD,1000000,13.815510557964274,14.427951700924154,0.6124411429598808,Daniel Milstein,Kent Hughes,26,51,1.81,12.92,6.55,3.19,1.98,0.52,5.6,1.29
Paul Cotter,N.J,L,STD,775000,13.560618308335483,14.197057054006654,0.6364387456711711,Daniel Milstein,Kelly McCrimmon,26,79,1.07,10.24,5.55,3.06,1.92,0.5,13.66,1.56
Zack MacEwen,N.J,R,STD,775000,13.560618308335483,13.255031289266505,-0.30558701906897845,Doug Shepherd,Pierre Dorion,29,3,0,22.11,12.63,9.47,6.32,3.16,18.95,3.16
Nico Hischier,N.J,C,STD,7250000,15.796512026830857,15.096996131498567,-0.69951589533229,Allain Roy,Ray Shero,27,82,2.33,13.92,9.78,4.8,2.54,0.95,2.05,2.19
Arseny Gritsyuk,N.J,R,ELC,925000,13.737549016494562,14.783039624948824,1.0454906084542621,Shumi Babaev,Tom Fitzgerald,25,66,1.86,16.18,7.55,2.34,2.76,1.44,3.47,1.08
Brenden Dillon,N.J,D,STD,4000000,15.201804919084164,15.026075408214783,-0.17572951086938104,Allain Roy,Tom Fitzgerald,35,82,0.61,5.24,1.26,0.12,2.28,0.41,8.21,4.19
Brett Pesce,N.J,D,STD,5500000,15.520258650202699,14.640848809317564,-0.8794098408851347,Judd Moldaver,Tom Fitzgerald,31,37,0.5599999999999999,6.95,2.48,0.72,1.84,1.28,0.88,6.39
Cody Glass,N.J,C,STD,2500000,14.73180128983843,14.733111548233065,0.0013102583946356106,Murray Koontz,Tom Fitzgerald,27,70,1.64,11.21,7.87,3.84,2.2,0.5,2.64,2.52
Connor Brown,N.J,R,STD,3000000,14.914122846632385,15.184069916813417,0.2699470701810327,Judd Moldaver,Tom Fitzgerald,32,75,1.96,9.94,6.75,3.83,2.69,0.96,1.14,1.69
Dawson Mercer,N.J,C,STD,4000000,15.201804919084164,14.6742722900987,-0.5275326289854636,Pat Brisson,Tom Fitzgerald,24,82,1.6800000000000002,12.81,8.51,4.54,3.01,1.08,1.32,1.89
Dennis Cholowski,N.J,D,STD,775000,13.560618308335483,14.024643045347199,0.46402473701171587,Allain Roy,Tom Fitzgerald,28,17,0.48,6.01,1.2,0.24,4.33,1.2,0.72,4.33
Dougie Hamilton,N.J,D,STD,9000000,16.012735135300492,15.463499873072662,-0.54923526222783,J.P. Barry,Tom Fitzgerald,33,77,1.3699999999999999,16.53,4.45,0.58,4.3,0.51,3.15,2.79
Evgenii Dadonov,N.J,L,STD,1000000,13.815510557964274,14.625126868915311,0.8096163109510375,Rick Komarow,Tom Fitzgerald,37,24,0.23,9.15,4.93,2.35,3.52,0.47,1.64,2.82
Jack Hughes,N.J,C,STD,8000000,15.89495209964411,15.294649431656218,-0.6003026679878918,Pat Brisson,Tom Fitzgerald,25,61,3.56,19.84,11.86,4.11,5.81,1.71,0.18,1.48
Jesper Bratt,N.J,L,STD,7875000,15.879203742675971,15.169009151965016,-0.7101945907109553,Joakim Persson,Tom Fitzgerald,27,82,2.77,13.8,7.92,3.31,3.59,0.94,2.89,0.94
Johnathan Kovacevic,N.J,D,STD,4000000,15.201804919084164,14.17492744692291,-1.0268774721612548,Richard Evans,Tom Fitzgerald,28,34,0.79,7.7,2.07,0.59,2.77,0.89,5.63,3.85
Jonas Siegenthaler,N.J,D,STD,3400000,15.03928598958639,14.765544280017103,-0.27374170956928623,Allain Roy,Tom Fitzgerald,29,82,0.6,6.24,1.77,0.6,3.38,0.79,3.46,5.07
Lenni Hämeenaho,N.J,R,ELC,950000,13.764217263576723,13.935227157605842,0.17100989402911893,Markus Lehto,Tom Fitzgerald,21,33,1.2,13.58,5.67,2.24,1.79,0.9,2.99,2.39
Luke Hughes,N.J,D,STD,9000000,16.012735135300492,14.536651223888182,-1.47608391141231,Pat Brisson,Tom Fitzgerald,22,68,1.34,14.38,4.29,0.69,4.14,1.11,0.73,1.99
Simon Nemec,N.J,D,ELC,918333,13.73031534892457,14.520272482578607,0.7899571336540365,J.P. Barry,Tom Fitzgerald,22,68,1.1600000000000001,12.07,3.5,0.67,3.59,1.08,1.03,4.67
Stefan Noesen,N.J,R,STD,2750000,14.827111469642754,14.499558955447995,-0.3275525141947586,Wade Arnott,Tom Fitzgerald,33,38,0.9400000000000001,12.49,6.99,4.84,3.09,0.4,4.43,2.01
Timo Meier,N.J,R,STD,8800000,15.990262279448435,15.201583454991306,-0.7886788244571292,Claude Lemieux,Tom Fitzgerald,29,77,1.85,22.94,12.37,5.89,3.41,1.14,5.51,2.23
Maxim Tsyplakov,N.J,R,STD,2250000,14.626440774180603,13.897805595021913,-0.7286351791586902,Ryan Barnes,Mathieu Darche,27,49,0.54,12.22,5.77,3.36,3.76,1.07,11.14,1.07
Ondrej Palat,N.J,L,STD,6000000,15.60727002719233,15.086779186378926,-0.5204908408134035,Craig Oster,Tom Fitzgerald,35,80,0.8799999999999999,9.89,6.73,3.57,2.4,0.7,7.78,3.92
Luke Glendening,N.J,C,STD,775000,13.560618308335483,15.014274417300408,1.4536561089649247,Shawn Hunwick,Tom Fitzgerald,37,70,0.73,6.75,4.56,3.17,0.89,0.49,7.89,4.31
Nick Bjugstad,N.J,C,STD,1750000,14.375126345899696,14.741684879227524,0.3665585333278276,Ben Hankinson,Doug Armstrong,33,61,0.81,12.5,7.01,3.24,2.07,0.9,9.71,2.97
Adam Wilsby,NSH,D,STD,775000,13.560618308335483,14.36138318603445,0.8007648776989669,Joakim Persson,Barry Trotz,25,58,0.97,8.27,2.98,0.79,2.86,0.91,1.7,2.86
Brady Skjei,NSH,D,STD,7000000,15.761420707019587,15.110755380607957,-0.6506653264116302,Wade Arnott,Barry Trotz,32,82,0.84,8.84,2.91,0.32,3.66,0.97,2.27,2.72
Cole O'Hara,NSH,R,ELC,860000,13.664687668229691,14.190336248114047,0.525648579884356,Joseph Resnick,Barry Trotz,24,1,5.27,5.27,0,0,10.54,5.27,10.54,0
Jonathan Marchessault,NSH,R,STD,5500000,15.520258650202699,15.234823456262848,-0.2854351939398505,Pat Brisson,Barry Trotz,35,62,1.8,15.41,8.86,4.23,3.71,0.87,4.34,0.52
Kevin Gravel,NSH,D,STD,775000,13.560618308335483,14.26120060302201,0.7005822946865266,Dean Grillo,Barry Trotz,34,1,0,3.61,0,0,3.61,0,3.61,10.84
Luke Evangelista,NSH,R,STD,3000000,14.914122846632385,14.932876967630976,0.018754120998591972,Judd Moldaver,Barry Trotz,24,81,2.49,14.08,7.75,3.7,2.58,1.11,0.94,0.94
Matthew Wood,NSH,R,ELC,950000,13.764217263576723,14.44226765259117,0.6780503890144463,Sean Coffey,Barry Trotz,21,71,2.06,13.17,8.23,3.29,2.81,0.69,3.64,1.71
Nicklaus Perbix,NSH,D,STD,2750000,14.827111469642754,14.7209533419513,-0.10615812769145272,Brian & Scott Bartlett,Barry Trotz,28,79,0.52,7.19,2.34,0.24,3.81,0.91,1.23,3.78
Nicolas Hague,NSH,D,STD,5500000,15.520258650202699,14.440726075942585,-1.0795325742601136,Murray Koontz,Barry Trotz,27,62,0.74,8.23,2.12,0.35,2.22,0.74,3.75,2.66
Ozzy Wiesblatt,NSH,C,STD,775000,13.560618308335483,13.599433139900924,0.038814831565440855,Dave Cowan,Barry Trotz,24,40,0.74,9.13,4.42,1.92,2.21,1.03,14.73,2.65
Ryan O'Reilly,NSH,C,STD,4500000,15.319587954740548,15.652704642055577,0.3331166873150284,Patrick Morris,Barry Trotz,35,81,2.69,9.33,7.26,4.9,1.78,1.82,0.62,2.4
Ryan Ufko,NSH,D,ELC,925000,13.737549016494562,14.155539850890207,0.41799083439564555,John Kofi Osei-Tutu & Bobby Gauthier,Barry Trotz,23,18,2.64,7.92,2.64,0.96,2.88,0.72,2.4,3.12
Steven Stamkos,NSH,C,STD,8000000,15.89495209964411,15.901098894873341,0.006146795229231117,Donald Meehan,Barry Trotz,36,82,2.71,16.75,8.99,3.98,2.67,0.99,3.65,1.48
Filip Forsberg,NSH,L,STD,8500000,15.955576721460545,15.727232141925299,-0.22834457953524634,J.P. Barry,David Poile,31,82,2.91,21.35,8.99,3.25,4.07,1.86,4.8,1.28
Fyodor Svechkov,NSH,C,ELC,925000,13.737549016494562,14.272475046511639,0.5349260300170773,Daniel Milstein,David Poile,23,70,1.2000000000000002,10.15,5.96,2.56,3.48,1.35,4.26,2.06
Joakim Kemell,NSH,R,ELC,886666,13.69522364020979,13.604467480372254,-0.09075615983753593,Craig Oster,David Poile,22,16,1.08,12.25,5.04,2.16,1.8,1.44,9.01,3.24
Roman Josi,NSH,D,STD,9059000,16.019269296651427,15.796269569429954,-0.2229997272214721,Judd Moldaver,David Poile,36,68,1.95,13.66,4.97,0.74,2.73,0.82,0.85,3.58
Zachary L'Heureux,NSH,L,ELC,863334,13.668556917208084,13.387787568591135,-0.2807693486169498,Allan Walsh,David Poile,23,25,0.8999999999999999,11.47,8.07,5.38,2.87,0.9,11.47,2.69
Tyson Jost,NSH,C,STD,775000,13.560618308335483,14.666045314824853,1.1054270064893696,J.P. Barry,Eric Tulsky,28,69,1.12,12.05,6.37,2.94,2.52,1.54,4.69,2.17
Reid Schaefer,NSH,L,ELC,886666,13.69522364020979,13.630940570448484,-0.06428306976130571,Eustace King,Ken Holland,22,47,1.05,10.86,5.56,3.31,2.52,0.66,14.3,3.97
Justin Barron,NSH,D,STD,1150000,13.955272500339433,14.119457364700933,0.16418486436150026,Wade Arnott,Kent Hughes,24,52,0.73,7.29,2.27,0.73,4.21,0.32,3,4.86
Erik Haula,NSH,L,STD,3150000,14.962913010801817,15.340886725798345,0.37797371499652854,Allain Roy,Tom Fitzgerald,35,81,1.69,11.24,6,3.42,2.62,0.67,5.24,2.27
Cole Smith,NSH,R,STD,1000000,13.815510557964274,14.262145066720752,0.44663450875647825,Dean Grillo,Barry Trotz,30,63,0.8599999999999999,10.4,7.39,4.45,1.51,1,12.41,1.29
Calum Ritchie,NYI,C,ELC,918333,13.73031534892457,14.277441802385814,0.5471264534612441,Wade Arnott,Chris MacFarland,21,65,2.06,9.53,5.96,3.56,3.7,0.62,1.17,2.33
Adam Pelech,NYI,D,STD,5750000,15.564710412773533,15.130882275085602,-0.4338281376879305,Paul Capizzano,Lou Lamoriello,31,82,0.56,11.17,2.66,0.35,2.45,1.09,2.31,4.38
Anders Lee,NYI,L,STD,7000000,15.761420707019587,15.354122954671583,-0.40729775234800414,Neil Sheehy,Lou Lamoriello,35,82,1.9700000000000002,17.22,12.45,8.66,2.81,0.47,4.26,1.73
Anthony Duclair,NYI,L,STD,3500000,15.068273526459642,15.098301065898925,0.030027539439283046,Anthony Duclair,Lou Lamoriello,30,62,1.98,11.14,6.3,2.71,1.98,0.66,0.66,3.08
Bo Horvat,NYI,C,STD,8500000,15.955576721460545,15.449401089537439,-0.5061756319231066,Patrick Morris,Lou Lamoriello,31,68,2.42,17.04,10.88,3.44,2.93,0.81,2.17,1.61
Casey Cizikas,NYI,C,STD,2500000,14.73180128983843,15.047811618659868,0.316010328821438,Patrick Morris,Lou Lamoriello,35,81,1.13,9.76,5.85,3.52,3.08,0.63,9.63,3.59
Isaiah George,NYI,D,ELC,838333,13.639170675233474,13.663613934036889,0.024443258803414025,J.P. Barry,Lou Lamoriello,22,4,1.12,6.73,1.12,0,2.24,2.24,1.12,3.37
Jean-Gabriel Pageau,NYI,C,STD,5000000,15.424948470398375,15.04303636702926,-0.38191210336911574,Craig Oster,Lou Lamoriello,33,74,1.81,7.76,5.28,3.16,2.59,0.83,5.95,2.64
Kyle MacLean,NYI,C,STD,775000,13.560618308335483,13.977183418353746,0.41656511001826324,Michael Curran,Lou Lamoriello,27,59,0.6699999999999999,9.09,5.32,3.29,2.9,0.77,11.7,2.22
Mathew Barzal,NYI,C,STD,9150000,16.029264437251705,15.371715973436727,-0.6575484638149778,J.P. Barry,Lou Lamoriello,29,81,2.58,13.63,6.31,2.8,3.34,1.51,1.04,1.79
Ryan Pulock,NYI,D,STD,6150000,15.631962639782701,15.14492163097748,-0.48704100880522105,Jarrett Bousquet,Lou Lamoriello,31,76,1.02,8.46,1.71,0.15,2.92,1.02,1.86,5.58
Scott Mayfield,NYI,D,STD,3500000,15.068273526459642,15.11830936937094,0.05003584291129748,Matt & Ryan Keator,Lou Lamoriello,33,80,0.6799999999999999,8.51,1.96,0.18,3.1,0.91,3.42,3.73
Adam Boqvist,NYI,D,STD,850000,13.652991628466498,14.07333715502057,0.42034552655407076,Craig Oster,Mathieu Darche,25,28,0.65,8.35,2.62,0,1.8,0.82,1.8,3.76
Alexander Romanov,NYI,D,STD,6250000,15.648092021712584,13.735729679706136,-1.912362342006448,Daniel Milstein,Mathieu Darche,26,15,0.21,7.82,1.03,0.41,3.7,0.82,6.38,6.38
Emil Heineman,NYI,L,STD,1100000,13.9108207377686,14.461446344739233,0.5506256069706339,Matt & Ryan Keator,Mathieu Darche,24,82,1.37,14.27,8.37,3.04,2.33,0.4,10.88,2.38
Kyle Palmieri,NYI,C,STD,4750000,15.373655176010823,15.045068959582737,-0.3285862164280857,Brian & Scott Bartlett,Mathieu Darche,35,25,2.29,16.02,10.3,5.47,2.29,1.02,2.42,1.14
Marc Gatcomb,NYI,C,STD,900000,13.710150042306449,13.563092545863435,-0.14705749644301314,Jordan Neumann & George Bazos,Mathieu Darche,26,49,0.85,11.41,6.19,4.01,1.46,0.73,23.31,2.91
Matthew Schaefer,NYI,D,ELC,975000,13.790192749979985,14.59478646943642,0.8045937194564345,Patrick Morris,Mathieu Darche,18,82,1.75,15.62,5.66,1.25,2.67,1.13,1.19,3.29
Simon Holmstrom,NYI,R,STD,3625000,15.103364846270912,14.817887526939684,-0.28547731933122833,J.P. Barry,Mathieu Darche,25,79,1.8599999999999999,9.35,5.99,2.22,2.54,1.41,0.73,2.04
Tony DeAngelo,NYI,D,STD,1750000,14.375126345899696,15.210332404642722,0.8352060587430259,Pat Brisson,Mathieu Darche,30,76,1.45,12.91,4.08,0.58,3.96,0.82,1.36,2.89
